sentence_number;design_decision;classification;alternative_classification
1;0;;
2;0;;
3;0;;
4;0;;
5;1;component;
6;1;messaging;
7;1;integration;
8;1;integration;
9;1;platform;
10;1;data base;
11;1;design rule;
12;1;relation;
13;1;relation;
14;0;;
15;0;;
16;1;platform;
17;1;platform;
18;1;platform;
19;1;platform;messaging
20;1;platform;
21;1;platform;data file
22;0;;
23;1;architectural pattern;
24;0;component;
25;1;component;
26;1;component;
27;1;component;
28;1;algorithm;
29;1;association;function
30;1;function;
31;1;function;
32;1;function;
33;0;;
34;0;;
35;1;programming language;
36;1;api;
37;1;api;
38;1;api;
39;1;integration;
40;1;user interface;
41;1;integration;
42;0;;
43;1;api;
44;0;;
45;1;integration;
46;0;;
47;1;data base;
48;1;function;data file
49;0;;
50;1;component;
51;1;function;
52;0;;
53;1;component;
54;1;function;
55;0;;
56;1;component;
57;0;;
58;1;messaging;
59;0;;
60;0;;
61;1;integration;
62;1;function;
63;1;api;messaging
64;1;integration;function
65;0;;
66;1;integration;
67;1;integration;
68;1;integration;
69;0;;
70;1;platform;
71;1;function;
72;1;api;integration
73;0;;
74;1;data file;function
75;1;data file;
76;1;data file;
77;1;messaging;relation
78;0;;
79;0;;
80;1;data file;
81;0;;
82;0;;
83;1;data file;
84;0;;
85;0;;
