modelElementID,sentence
_dhM6oDVXEeqPG_FgW3bi6Q,1
_bC13QDVWEeqPG_FgW3bi6Q,3
_yA04AKTKEeqKjI323B3R3w,4
_lnx1oDVWEeqPG_FgW3bi6Q,4
_bC13QDVWEeqPG_FgW3bi6Q,5
_lnx1oDVWEeqPG_FgW3bi6Q,5
_bC13QDVWEeqPG_FgW3bi6Q,6
_bC13QDVWEeqPG_FgW3bi6Q,7
_yA04AKTKEeqKjI323B3R3w,8
_bC13QDVWEeqPG_FgW3bi6Q,8
_yA04AKTKEeqKjI323B3R3w,10
_yA04AKTKEeqKjI323B3R3w,11
_lnx1oDVWEeqPG_FgW3bi6Q,14
_AiuxcDVdEeqPG_FgW3bi6Q,15
_AiuxcDVdEeqPG_FgW3bi6Q,20
_m3fxEDVWEeqPG_FgW3bi6Q,21
_m3fxEDVWEeqPG_FgW3bi6Q,23
_lnx1oDVWEeqPG_FgW3bi6Q,23
_m3fxEDVWEeqPG_FgW3bi6Q,24
_m3fxEDVWEeqPG_FgW3bi6Q,25
_m3fxEDVWEeqPG_FgW3bi6Q,26
_m3fxEDVWEeqPG_FgW3bi6Q,27
_lnx1oDVWEeqPG_FgW3bi6Q,27
_lnx1oDVWEeqPG_FgW3bi6Q,31
_lnx1oDVWEeqPG_FgW3bi6Q,33
_lnx1oDVWEeqPG_FgW3bi6Q,34
_lnx1oDVWEeqPG_FgW3bi6Q,36
_lnx1oDVWEeqPG_FgW3bi6Q,37
_dhM6oDVXEeqPG_FgW3bi6Q,39
_dhM6oDVXEeqPG_FgW3bi6Q,41
